pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
2,26,0.00504461,3.18424,-0.131527,310.059,498.806,-0.236938,-0.024353
2,27,0.00504461,3.18424,-0.131527,308.38,655.275,-0.237946,-0.0285034
3,0,0.0039486,3.18373,-0.134559,753.577,447.725,0.10675,-0.720032
3,1,0.0039486,3.18373,-0.134559,753.059,604.412,0.360901,-0.532043
3,2,0.0039486,3.18373,-0.134559,752.226,762.023,0.235474,-0.277466
3,3,0.0039486,3.18373,-0.134559,751.54,920.357,0.190308,-0.117371
3,4,0.0039486,3.18373,-0.134559,673.908,527.084,0.144348,-0.36969
3,5,0.0039486,3.18373,-0.134559,673.009,683.865,0.174927,-0.413879
3,6,0.0039486,3.18373,-0.134559,672.073,841.87,0.0953979,-0.071228
3,7,0.0039486,3.18373,-0.134559,671.277,1000.54,0.0831909,0.143616
3,8,0.0039486,3.18373,-0.134559,595.277,450.009,0.105042,-0.306854
3,9,0.0039486,3.18373,-0.134559,594.066,606.363,0.0516968,-0.236877
3,10,0.0039486,3.18373,-0.134559,593.011,763.65,0.076355,-0.0877686
3,11,0.0039486,3.18373,-0.134559,591.84,921.589,-0.0960693,-0.102478
3,12,0.0039486,3.18373,-0.134559,515.516,529.1,-0.0236816,-0.170288
3,13,0.0039486,3.18373,-0.134559,513.967,685.872,-0.265564,-0.000305176
3,14,0.0039486,3.18373,-0.134559,512.826,843.305,-0.185974,-0.00299072
3,15,0.0039486,3.18373,-0.134559,511.712,1001.57,-0.166107,0.034729
3,16,0.0039486,3.18373,-0.134559,437.208,452.252,-0.210968,-0.0471497
3,17,0.0039486,3.18373,-0.134559,435.735,608.227,-0.144653,-0.127136
3,18,0.0039486,3.18373,-0.134559,434.208,765.097,-0.222443,-0.163208
3,19,0.0039486,3.18373,-0.134559,432.853,922.934,-0.223694,-0.0435791
3,20,0.0039486,3.18373,-0.134559,357.788,531.015,-0.0951538,-0.176636
3,21,0.0039486,3.18373,-0.134559,356.042,687.428,-0.160828,-0.128845
3,22,0.0039486,3.18373,-0.134559,354.514,844.805,-0.10733,0.0535278
3,23,0.0039486,3.18373,-0.134559,352.843,1002.9,-0.298065,0.163269
3,24,0.0039486,3.18373,-0.134559,280.102,454.202,-0.152283,-0.19104
3,25,0.0039486,3.18373,-0.134559,278.161,610.097,-0.174927,-0.10907
3,26,0.0039486,3.18373,-0.134559,276.275,766.765,-0.247528,-0.100159
3,27,0.0039486,3.18373,-0.134559,274.581,924.191,-0.234772,-0.142151
4,0,0.00451473,3.18447,-0.133258,949.637,449,0.151489,-0.804443
4,1,0.00451473,3.18447,-0.133258,949.661,605.361,0.409912,-0.58606
4,2,0.00451473,3.18447,-0.133258,949.327,762.59,0.260986,-0.347778
4,3,0.00451473,3.18447,-0.133258,949.134,920.571,0.204773,-0.165588
4,4,0.00451473,3.18447,-0.133258,870.267,528.176,0.190979,-0.42157
4,5,0.00451473,3.18447,-0.133258,869.874,684.632,0.195801,-0.439148
4,6,0.00451473,3.18447,-0.133258,869.481,842.257,0.145813,-0.11554
4,7,0.00451473,3.18447,-0.133258,869.127,1000.61,0.0786743,0.147583
4,8,0.00451473,3.18447,-0.133258,791.34,451.222,0.115967,-0.367065
4,9,0.00451473,3.18447,-0.133258,790.69,607.274,0.083374,-0.260437
4,10,0.00451473,3.18447,-0.133258,790.146,764.21,0.0944824,-0.115417
4,11,0.00451473,3.18447,-0.133258,789.448,921.895,-0.110474,-0.026001
4,12,0.00451473,3.18447,-0.133258,711.889,530.112,0.0274658,-0.22467
4,13,0.00451473,3.18447,-0.133258,710.829,686.571,-0.259338,-0.0336304
4,14,0.00451473,3.18447,-0.133258,710.168,843.698,-0.215088,0.00128174
4,15,0.00451473,3.18447,-0.133258,709.536,1001.73,-0.213379,0.151611
4,16,0.00451473,3.18447,-0.133258,633.224,453.401,-0.228027,-0.0870056
4,17,0.00451473,3.18447,-0.133258,632.318,609.1,-0.137085,-0.121277
4,18,0.00451473,3.18447,-0.133258,631.244,765.661,-0.28894,-0.135437
4,19,0.00451473,3.18447,-0.133258,630.418,923.201,-0.268616,0.0253906
4,20,0.00451473,3.18447,-0.133258,554.008,531.986,-0.153503,-0.196838
4,21,0.00451473,3.18447,-0.133258,552.764,688.073,-0.250854,-0.157593
