pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
7,10,-0.0211479,3.34244,-0.148556,993.007,1022.89,0.141296,0.217163
7,11,-0.0211479,3.34244,-0.148556,989.267,1181.62,-0.16394,0.310181
7,12,-0.0211479,3.34244,-0.148556,920.661,786.599,0.356445,0.0354614
7,13,-0.0211479,3.34244,-0.148556,916.594,944.061,-0.0725708,0.24884
7,14,-0.0211479,3.34244,-0.148556,912.922,1102.09,-0.145081,0.331421
7,15,-0.0211479,3.34244,-0.148556,909.258,1260.84,-0.248901,0.480957
7,16,-0.0211479,3.34244,-0.148556,845.038,709.07,0.229004,0.110718
7,17,-0.0211479,3.34244,-0.148556,841.104,865.642,0.110168,0.151978
7,18,-0.0211479,3.34244,-0.148556,837.098,1022.92,-0.125916,0.17981
7,19,-0.0211479,3.34244,-0.148556,833.296,1181.02,-0.203918,0.368408
7,20,-0.0211479,3.34244,-0.148556,766.057,787.777,0.203796,0.0635376
7,21,-0.0211479,3.34244,-0.148556,761.894,944.406,-0.0133057,0.156311
7,22,-0.0211479,3.34244,-0.148556,757.965,1101.92,-0.0490723,0.447021
7,23,-0.0211479,3.34244,-0.148556,753.843,1259.95,-0.332886,0.605225
7,24,-0.0211479,3.34244,-0.148556,691.461,710.559,0.211731,0.0702515
7,25,-0.0211479,3.34244,-0.148556,687.179,866.5,0.0559692,0.194336
7,26,-0.0211479,3.34244,-0.148556,682.924,1023.12,-0.13208,0.292297
7,27,-0.0211479,3.34244,-0.148556,678.803,1180.36,-0.24585,0.333496
8,0,-0.0218444,3.34103,-0.150242,957.339,704.738,0.318481,-0.531616
8,1,-0.0218444,3.34103,-0.150242,953.809,862.629,0.463867,-0.311279
8,2,-0.0218444,3.34103,-0.150242,949.927,1021.32,0.223938,-0.0292969
8,3,-0.0218444,3.34103,-0.150242,946.159,1180.53,0.0616455,0.0944824
8,4,-0.0218444,3.34103,-0.150242,877.591,784.361,0.331482,-0.185913
8,5,-0.0218444,3.34103,-0.150242,873.695,942.07,0.252563,-0.166138
8,6,-0.0218444,3.34103,-0.150242,869.765,1100.82,0.0975342,0.18335
8,7,-0.0218444,3.34103,-0.150242,865.896,1260.13,-0.0395508,0.439453
8,8,-0.0218444,3.34103,-0.150242,802.128,706.571,0.41748,-0.136963
8,9,-0.0218444,3.34103,-0.150242,797.943,863.654,0.230164,-0.0168457
8,10,-0.0218444,3.34103,-0.150242,793.899,1021.55,0.136047,0.188782
8,11,-0.0218444,3.34103,-0.150242,789.687,1180,-0.177429,0.264404
8,12,-0.0218444,3.34103,-0.150242,722.796,785.685,0.275208,0.02771
8,13,-0.0218444,3.34103,-0.150242,718.281,942.854,-0.111206,0.224182
8,14,-0.0218444,3.34103,-0.150242,714.184,1100.59,-0.135803,0.281982
8,15,-0.0218444,3.34103,-0.150242,710.118,1259.06,-0.188171,0.421875
8,16,-0.0218444,3.34103,-0.150242,648.018,708.336,0.146973,0.136047
8,17,-0.0218444,3.34103,-0.150242,643.646,864.569,0.086792,0.122437
8,18,-0.0218444,3.34103,-0.150242,639.221,1021.55,-0.0884399,0.134521
8,19,-0.0218444,3.34103,-0.150242,634.981,1179.32,-0.142822,0.26416
8,20,-0.0218444,3.34103,-0.150242,569.446,786.875,0.176819,0.059021
8,21,-0.0218444,3.34103,-0.150242,564.865,943.212,0.027771,0.148193
8,22,-0.0218444,3.34103,-0.150242,560.511,1100.39,0.036438,0.385254
8,23,-0.0218444,3.34103,-0.150242,555.999,1258.08,-0.185669,0.484497
8,24,-0.0218444,3.34103,-0.150242,495.752,709.778,0.222931,0.0332642
8,25,-0.0218444,3.34103,-0.150242,490.991,865.429,0.0817871,0.163086
8,26,-0.0218444,3.34103,-0.150242,486.289,1021.74,-0.0760193,0.243225
8,27,-0.0218444,3.34103,-0.150242,481.783,1178.63,-0.117279,0.229858
9,0,-0.0220753,3.33955,-0.151277,756.737,702.53,0.2099,-0.508179
9,1,-0.0220753,3.33955,-0.151277,752.764,860.042,0.372131,-0.339539
9,2,-0.0220753,3.33955,-0.151277,748.49,1018.39,0.179688,-0.0697632
9,3,-0.0220753,3.33955,-0.151277,744.3,1177.29,0.0168457,0.0579834
9,4,-0.0220753,3.33955,-0.151277,677.404,782.02,0.245972,-0.157593
9,5,-0.0220753,3.33955,-0.151277,673.08,939.335,0.186462,-0.197998
9,6,-0.0220753,3.33955,-0.151277,668.766,1097.75,0.0759277,0.15271
9,7,-0.0220753,3.33955,-0.151277,664.524,1256.71,-0.0239868,0.388062
9,8,-0.0220753,3.33955,-0.151277,602.806,704.357,0.332825,-0.17926
9,9,-0.0220753,3.33955,-0.151277,598.193,861.115,0.173096,-0.0435791
9,10,-0.0220753,3.33955,-0.151277,593.724,1018.68,0.0891724,0.172913
9,11,-0.0220753,3.33955,-0.151277,589.125,1176.73,-0.19342,0.187622
9,12,-0.0220753,3.33955,-0.151277,523.938,783.364,0.24176,0.0223999
9,13,-0.0220753,3.33955,-0.151277,518.985,940.173,-0.138733,0.20636
9,14,-0.0220753,3.33955,-0.151277,514.488,1097.55,-0.138916,0.255249
9,15,-0.0220753,3.33955,-0.151277,510.043,1255.56,-0.164459,0.280396
9,16,-0.0220753,3.33955,-0.151277,450.015,706.179,0.0884399,0.0911865
9,17,-0.0220753,3.33955,-0.151277,445.223,862.099,0.059845,0.118591
9,18,-0.0220753,3.33955,-0.151277,440.4,1018.67,-0.0812073,0.0726318
9,19,-0.0220753,3.33955,-0.151277,435.801,1176.11,-0.0812073,0.231201
9,20,-0.0220753,3.33955,-0.151277,371.962,784.562,0.205322,0.00866699
9,21,-0.0220753,3.33955,-0.151277,366.947,940.555,0.0622253,0.11322
9,22,-0.0220753,3.33955,-0.151277,362.177,1097.31,0.0749512,0.287842
9,23,-0.0220753,3.33955,-0.151277,357.308,1254.67,-0.102234,0.410278
9,24,-0.0220753,3.33955,-0.151277,299.099,707.661,0.187805,-0.031189
9,25,-0.0220753,3.33955,-0.151277,293.969,862.958,0.124207,0.111816
9,26,-0.0220753,3.33955,-0.151277,288.855,1018.87,-0.0173645,0.154907
9,27,-0.0220753,3.33955,-0.151277,283.964,1175.38,-0.0345459,0.130493
10,0,-0.0223152,3.33825,-0.152056,554.169,698.688,0.0655518,-0.445923
10,1,-0.0223152,3.33825,-0.152056,549.76,855.785,0.2547,-0.284851
